Time,Notifier,H,M,R,Country,OS,ParseDomain
11/13/16,aDriv4,H,M,,Venezuela,Linux,enciclopedia.cnh.gob.ve
11/13/16,aDriv4,,M,R,Venezuela,Linux,congreso.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,chat.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,alimentacion.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,actualizacion.cnh.gob.ve
11/13/16,Shade,H,,,Brazil,Linux,edu.se.df.gov.br
11/13/16,Faisal 1337,,,,India,Win 2012,www.urbanprices.gov.in
11/13/16,Faisal 1337,,M,,India,Win 2012,www.zsienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,wwfenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,wiienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,upenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,tnenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,tigernet.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,terienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,sulabhenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,spaenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,sikenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,punenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,projecttiger.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,nhwis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,nagenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,mpenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,kerenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,jkspcb.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,jharenvis.nic.in
11/13/16,Faisal 1337,,,,India,Win 2012,itrcenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,tourismpmis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,tourismfinacct.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,nationalarchives.nic.in
11/13/16,Team_CC,,M,R,Colombia,Linux,planeacion.risaralda.gov.co
11/13/16,Team_CC,,M,R,Colombia,Linux,husj.risaralda.gov.co
11/13/16,Team_CC,,M,R,Colombia,Linux,www.pvr.gov.co
11/13/16,Team_CC,,M,R,Colombia,Linux,www.asamblearisaralda.gov.co
11/13/16,0x1999,,M,,Indonesia,Linux,smk.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,monev.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,kelasdigital.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,pmp.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,kur2013.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,perpustakaan.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,Linux,supervisi.lpmpjateng.go.id
11/13/16,aDriv4,H,,,Italy,Linux,www.arcacapitanata.gov.it
11/13/16,hasnain haxor,,,,India,Win 2008,www.irsofficersonline.gov.in
11/13/16,Z3z3-HaCkEr,H,M,R,Thailand,Linux,www.maeyom.go.th
11/13/16,Z3z3-HaCkEr,H,M,R,Thailand,Linux,www.nakhonchaisi-sao.go.th
