Time,Notifier,H,M,R,Country,Domain,OS,ParseDomain
11/14/16,0x1999,H,,R,United States,www.reb.gov.bd,Linux,www.reb.gov.bd
11/14/16,Rembang Security Tester,,,,Indonesia,pbsb.ditpdpontren.kemenag.go.i...,Unknown,pbsb.ditpdpontren.kemenag.go.i...
11/14/16,Rembang Security Tester,,,R,Indonesia,disnaker.bandung.go.id/disnake...,Unknown,disnaker.bandung.go.id
11/14/16,M2404,,M,,Indonesia,disparkominfo.samarindakota.go...,Linux,disparkominfo.samarindakota.go...
11/14/16,M2404,,M,,Indonesia,infopublik.samarindakota.go.id...,Linux,infopublik.samarindakota.go.id...
11/14/16,KuzoTR,,M,,Brazil,www.coremu.uff.br//kuzo.gif,Linux,www.coremu.uff.br
11/14/16,KuzoTR,,,R,Brazil,www.gepec.uff.br/kuzo.gif,Linux,www.gepec.uff.br
11/14/16,aDriv4,,M,,Viet Nam,www.dongnaiimm.gov.vn/plugins/...,Linux,www.dongnaiimm.gov.vn
11/14/16,aDriv4,,,,Viet Nam,www.xncdongnai.gov.vn/plugins/...,Linux,www.xncdongnai.gov.vn
11/14/16,zombieleet,H,M,,United States,www.serve.gov.tl,Linux,www.serve.gov.tl
11/14/16,ProtoWave Reloaded,H,M,R,Brazil,gcbev.inpa.gov.br,Linux,gcbev.inpa.gov.br
11/14/16,ProtoWave Reloaded,H,M,,Brazil,bosque.inpa.gov.br,Linux,bosque.inpa.gov.br
11/14/16,Jurm,H,M,,Paraguay,www.tramitesparaguay.gov.py,Unknown,www.tramitesparaguay.gov.py
11/14/16,riadsyrhack,H,M,R,Tunisia,www.social.gov.tn,Linux,www.social.gov.tn
11/14/16,VirusYasscomMoroccan,,M,,Indonesia,kesbangpol.jambiprov.go.id/ban...,Win 2003,kesbangpol.jambiprov.go.id
11/14/16,B̦rte̤ine Tim,,,,Malaysia,www.wildlife.gov.my/index.php/...,Linux,www.wildlife.gov.my
11/14/16,aDriv4,H,,,Italy,www.ipssalocri.gov.it,Linux,www.ipssalocri.gov.it
11/14/16,LogView7,,M,R,Thailand,www.opec.pbn3.go.th/templates/...,Linux,www.opec.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.nongmaisor.pbn3.go.th/web1...,Linux,www.nongmaisor.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.nited.pbn3.go.th/templates...,Linux,www.nited.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.nernsomboon.pbn3.go.th/new...,Linux,www.nernsomboon.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.nbt.pbn3.go.th/images/dss.php,Linux,www.nbt.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.narideaw.pbn3.go.th/home/d...,Linux,www.narideaw.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.nachaleang.pbn3.go.th/temp...,Linux,www.nachaleang.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.kongphet.pbn3.go.th/templa...,Linux,www.kongphet.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.koksamran.pbn3.go.th/web1/...,Linux,www.koksamran.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.hr.pbn3.go.th/templates/ds...,Linux,www.hr.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.gis.pbn3.go.th/app/assets/...,Linux,www.gis.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.genad.pbn3.go.th/templates...,Linux,www.genad.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.financial.pbn3.go.th/templ...,Linux,www.financial.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.dansaisamakkee.pbn3.go.th/...,Linux,www.dansaisamakkee.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.bungnajan.pbn3.go.th/main/...,Linux,www.bungnajan.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,www.banpong.pbn3.go.th/templat...,Linux,www.banpong.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.bankokcharern.pbn3.go.th/w...,Linux,www.bankokcharern.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,baanbumagrood.pbn3.go.th/web1/...,Linux,baanbumagrood.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,www.klongdoo.pbn3.go.th/images...,Linux,www.klongdoo.pbn3.go.th
11/14/16,LogView7,,,,Thailand,www.rahul.pbn3.go.th/sa/dss.php,Linux,www.rahul.pbn3.go.th
11/14/16,RxR,,M,,Thailand,ome.rid.go.th/pump/configurati...,Linux,ome.rid.go.th
11/14/16,RxR,,M,,Thailand,msc6.rid.go.th/EN/configuratio...,Linux,msc6.rid.go.th
11/14/16,RxR,,M,,Thailand,moc3.rid.go.th/2016/king.htm,Linux,moc3.rid.go.th
11/14/16,RxR,,M,,Thailand,mproject.rid.go.th/med/king.htm,Linux,mproject.rid.go.th
11/14/16,RxR,,M,,Thailand,ict.rid.go.th/media/king.htm,Linux,ict.rid.go.th
